id,value,
Mother.Environmental.Spring/Well.Metals.Cr,3.5,
Mother.Environmental.Spring/Well.Pesticides,,
Mother.Environmental.Spring/Well.Pesticides.Propofol,44,
Mother.Environmental.Spring/Well.Pesticides.Ocdadecane,44,
Mother.Environmental.Spring/Well.Pesticides.Propofol,44,
Mother.Environmental.Spring/Well.Pesticides.Atrazine,44,
Mother.Environmental.Spring/Well.Pesticides.Terbacil,44,
Mother.Environmental.Spring/Well.Pesticides.Bromacil,44,
Mother.Environmental.Spring/Well.Pesticides.Aldine,44,
Mother.Psychosocial Factors,,
Mother.Psychosocial Factors.Demographics,,
Mother.Psychosocial Factors.Demographics.Age,,
Mother.Psychosocial Factors.Demographics.Income,,
Mother.Psychosocial Factors.Demographics.Education,,
Mother.Psychosocial Factors.Demographics.Race/Ethnicity,,
Mother.Psychosocial Factors.Self Report.Residential History,,
Mother.Psychosocial Factors.Self Report.Work History,,
Mother.Psychosocial Factors.Self Report.Smoking,,
Mother.Psychosocial Factors.Self Report.Alcohol,,
Mother.Psychosocial Factors.Self Report.Drug Use,,
Mother.Psychosocial Factors.Self Report.Supplements,,
Mother.Psychosocial Factors.Self Report.Product Use,,
Mother.Psychosocial Factors.Self Report.Food Frequency,,
Mother.Psychosocial Factors.Self Report.Physical Activity,,
Mother.Psychosocial Factors.Validated Scales,,
Mother.Psychosocial Factors.Validated Scales.Life Events,,
Mother.Psychosocial Factors.Validated Scales.Perceived Stress,,
Mother.Psychosocial Factors.Validated Scales.Depression,,
Mother.Psychosocial Factors.Validated Scales.Social Support,,
Mother.Health Measures.Prenatal,,
Mother.Health Measures.Prenatal.Pregnancy History,,
Mother.Health Measures.Prenatal.Gestational Age,,
Mother.Health Measures.Prenatal.Sonograms,,
Mother.Health Measures.Prenatal.Prenatal Exam,,
Mother.Health Measures.Prenatal.CBC,,
Mother.Health Measures.Prenatal.Urinalysis,,
Mother.Health Measures.Prenatal.Fasting blood sugar,,
Mother.Health Measures.Prenatal.PAP,,
Mother.Health Measures.Prenatal.Medication,,
Mother.Health Measures.Prenatal.Labor,,
Mother.Health Measures.Birth Outcome,,
Mother.Health Measures.Birth Outcome.Preeclampsia,,
Mother.Health Measures.Birth Outcome.Gestational Diabetes,,
Mother.Health Measures.Birth Outcome.Impaired Fetal Growth,,
Mother.Health Measures.Birth Outcome.Preterm,,
Mother.Health Measures.Birth Outcome.Birth Weight,,
Mother.Health Measures.Birth Outcome.Apgar,,
